t_rel_s,sim_joint4_deg,real_joint4_deg
3.0280,-1.2577,-1.4974
3.0320,-1.2709,-1.5116
3.0360,-1.2847,-1.5261
3.0400,-1.2986,-1.5413
3.0440,-1.3126,-1.5569
3.0480,-1.3189,-1.5734
3.0520,-1.3268,-1.5902
3.0560,-1.3418,-1.6080
3.0600,-1.3573,-1.6259
3.0640,-1.3729,-1.6448
3.0680,-1.3881,-1.6636
3.0720,-1.4039,-1.6824
3.0760,-1.4203,-1.7014
3.0800,-1.4275,-1.7224
3.0840,-1.4366,-1.7435
3.0880,-1.4529,-1.7665
3.0920,-1.4703,-1.7894
3.0960,-1.4883,-1.8132
3.1000,-1.5058,-1.8369
3.1040,-1.5239,-1.8591
3.1080,-1.5423,-1.8812
3.1120,-1.5506,-1.9076
3.1160,-1.5613,-1.9357
3.1200,-1.5807,-1.9638
3.1240,-1.6012,-1.9919
3.1280,-1.6221,-2.0208
3.1320,-1.6437,-2.0500
3.1360,-1.6662,-2.0904
3.1400,-1.6767,-2.1373
3.1440,-1.6895,-2.1756
3.1480,-1.7125,-2.2082
3.1520,-1.7362,-2.2416
3.1560,-1.7608,-2.2756
3.1600,-1.7855,-2.3095
3.1640,-1.8099,-2.3435
3.1680,-1.8341,-2.3785
3.1720,-1.8462,-2.4146
3.1760,-1.8611,-2.4514
3.1800,-1.8886,-2.4887
3.1840,-1.9176,-2.5266
3.1880,-1.9480,-2.5652
3.1920,-1.9807,-2.6035
3.1960,-2.0145,-2.6412
3.2000,-2.0484,-2.6790
3.2040,-2.0643,-2.7168
3.2080,-2.0847,-2.7542
3.2120,-2.1217,-2.7907
3.2160,-2.1599,-2.8270
3.2200,-2.1995,-2.8628
3.2240,-2.2400,-2.8986
3.2280,-2.2579,-2.9345
3.2320,-2.2804,-2.9704
3.2360,-2.3233,-3.0067
3.2400,-2.3665,-3.0428
3.2440,-2.4096,-3.0776
3.2480,-2.4529,-3.1125
3.2520,-2.4974,-3.1474
3.2560,-2.5409,-3.1822
3.2600,-2.5611,-3.2165
3.2640,-2.5853,-3.2507
3.2680,-2.6291,-3.2842
3.2720,-2.6731,-3.3176
3.2760,-2.7175,-3.3532
3.2800,-2.7607,-3.3890
3.2840,-2.8035,-3.4311
3.2880,-2.8463,-3.4744
3.2920,-2.8658,-3.5177
3.2960,-2.8889,-3.5611
3.3000,-2.9317,-3.5962
3.3040,-2.9748,-3.6284
3.3080,-3.0170,-3.6592
3.3120,-3.0589,-3.6895
3.3160,-3.1004,-3.7191
3.3200,-3.1190,-3.7484
3.3240,-3.1420,-3.7772
3.3280,-3.1818,-3.8057
3.3320,-3.2226,-3.8343
3.3360,-3.2637,-3.8630
3.3400,-3.3032,-3.8916
3.3440,-3.3421,-3.9202
3.3480,-3.3771,-3.9492
3.3520,-3.3976,-3.9784
3.3560,-3.4193,-4.0075
3.3600,-3.4580,-4.0365
3.3640,-3.4965,-4.0663
3.3680,-3.5349,-4.0975
